date,install_group,date,device_id,install_group
2020-01-01,Остальные,2020-01-01,866,Остальные
2020-01-01,Установили в тот же день,2020-01-01,3579,Установили в тот же день
2020-01-02,Остальные,2020-01-02,1957,Остальные
2020-01-02,Установили в тот же день,2020-01-02,3144,Установили в тот же день
2020-01-03,Остальные,2020-01-03,2742,Остальные
2020-01-03,Установили в тот же день,2020-01-03,2402,Установили в тот же день
2020-01-04,Остальные,2020-01-04,3093,Остальные
2020-01-04,Установили в тот же день,2020-01-04,1831,Установили в тот же день
2020-01-05,Остальные,2020-01-05,3936,Остальные
2020-01-05,Установили в тот же день,2020-01-05,1671,Установили в тот же день
2020-01-06,Остальные,2020-01-06,3677,Остальные
2020-01-06,Установили в тот же день,2020-01-06,1488,Установили в тот же день
2020-01-07,Остальные,2020-01-07,3475,Остальные
2020-01-07,Установили в тот же день,2020-01-07,1298,Установили в тот же день
2020-01-08,Остальные,2020-01-08,3796,Остальные
2020-01-08,Установили в тот же день,2020-01-08,1154,Установили в тот же день
2020-01-09,Остальные,2020-01-09,3992,Остальные
2020-01-09,Установили в тот же день,2020-01-09,1424,Установили в тот же день
2020-01-10,Остальные,2020-01-10,8323,Остальные
2020-01-10,Установили в тот же день,2020-01-10,13106,Установили в тот же день
2020-01-11,Остальные,2020-01-11,9946,Остальные
2020-01-11,Установили в тот же день,2020-01-11,4523,Установили в тот же день
2020-01-12,Остальные,2020-01-12,7790,Остальные
2020-01-12,Установили в тот же день,2020-01-12,2439,Установили в тот же день
2020-01-13,Остальные,2020-01-13,7603,Остальные
2020-01-13,Установили в тот же день,2020-01-13,4571,Установили в тот же день
2020-01-14,Остальные,2020-01-14,7764,Остальные
2020-01-14,Установили в тот же день,2020-01-14,5173,Установили в тот же день
2020-01-15,Остальные,2020-01-15,7545,Остальные
2020-01-15,Установили в тот же день,2020-01-15,4310,Установили в тот же день
2020-01-16,Остальные,2020-01-16,7325,Остальные
2020-01-16,Установили в тот же день,2020-01-16,3306,Установили в тот же день
2020-01-17,Остальные,2020-01-17,7165,Остальные
2020-01-17,Установили в тот же день,2020-01-17,2737,Установили в тот же день
2020-01-18,Остальные,2020-01-18,7292,Остальные
2020-01-18,Установили в тот же день,2020-01-18,2304,Установили в тот же день
2020-01-19,Остальные,2020-01-19,7259,Остальные
2020-01-19,Установили в тот же день,2020-01-19,2257,Установили в тот же день
2020-01-20,Остальные,2020-01-20,6937,Остальные
