date_purchase_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2019-12-30,395.0,390.5,391.5,369.5,392.0,394.75,382.0,375.5,399.5,385.0,402.5,405.5,400.5,380.75
2020-01-06,396.0,396.0,393.5,388.25,402.5,411.0,371.0,420.25,385.5,385.5,377.5,410.0,411.25,
2020-01-13,389.5,392.0,390.0,398.5,391.0,385.25,396.5,400.75,400.5,397.0,411.0,423.5,,
2020-01-20,397.5,404.0,366.5,377.0,384.5,395.5,397.5,406.25,388.0,375.0,452.75,,,
2020-01-27,394.75,389.0,386.5,397.0,389.75,385.5,393.5,392.0,401.0,353.0,,,,
2020-02-03,398.0,410.25,404.25,381.25,419.0,409.0,387.0,357.0,327.25,,,,,
2020-02-10,397.0,380.25,396.5,403.0,431.25,421.0,382.0,364.5,,,,,,
2020-02-17,392.0,392.0,388.25,391.5,421.5,407.0,418.25,,,,,,,
2020-02-24,383.0,415.5,415.5,375.5,409.5,381.0,,,,,,,,
2020-03-02,393.5,403.5,409.0,399.5,430.0,,,,,,,,,
2020-03-09,400.5,365.75,388.5,401.5,,,,,,,,,,
2020-03-16,390.5,431.5,379.5,,,,,,,,,,,
2020-03-23,395.75,424.75,,,,,,,,,,,,
2020-03-30,381.75,,,,,,,,,,,,,
