,date,utm_source,users
0,2020-01-01,-,761
1,2020-01-01,facebook_ads,337
2,2020-01-01,google_ads,617
3,2020-01-01,instagram_ads,422
4,2020-01-01,referal,218
5,2020-01-01,vk_ads,555
6,2020-01-01,yandex-direct,669
7,2020-01-02,-,674
8,2020-01-02,facebook_ads,277
9,2020-01-02,google_ads,525
10,2020-01-02,instagram_ads,408
11,2020-01-02,referal,207
12,2020-01-02,vk_ads,463
13,2020-01-02,yandex-direct,590
14,2020-01-03,-,514
15,2020-01-03,facebook_ads,200
16,2020-01-03,google_ads,427
17,2020-01-03,instagram_ads,303
18,2020-01-03,referal,140
19,2020-01-03,vk_ads,360
20,2020-01-03,yandex-direct,458
21,2020-01-04,-,387
22,2020-01-04,facebook_ads,161
23,2020-01-04,google_ads,330
24,2020-01-04,instagram_ads,245
25,2020-01-04,referal,90
26,2020-01-04,vk_ads,275
27,2020-01-04,yandex-direct,343
28,2020-01-05,-,335
29,2020-01-05,facebook_ads,160
30,2020-01-05,google_ads,304
31,2020-01-05,instagram_ads,197
32,2020-01-05,referal,108
33,2020-01-05,vk_ads,249
34,2020-01-05,yandex-direct,318
35,2020-01-06,-,337
36,2020-01-06,facebook_ads,117
37,2020-01-06,google_ads,242
38,2020-01-06,instagram_ads,198
39,2020-01-06,referal,74
40,2020-01-06,vk_ads,261
41,2020-01-06,yandex-direct,259
42,2020-01-07,-,264
43,2020-01-07,facebook_ads,134
44,2020-01-07,google_ads,204
45,2020-01-07,instagram_ads,173
46,2020-01-07,referal,67
47,2020-01-07,vk_ads,209
48,2020-01-07,yandex-direct,247
49,2020-01-08,-,228
50,2020-01-08,facebook_ads,101
51,2020-01-08,google_ads,184
52,2020-01-08,instagram_ads,172
53,2020-01-08,referal,66
54,2020-01-08,vk_ads,191
55,2020-01-08,yandex-direct,212
56,2020-01-09,-,300
57,2020-01-09,facebook_ads,143
58,2020-01-09,google_ads,233
59,2020-01-09,instagram_ads,177
60,2020-01-09,referal,102
61,2020-01-09,vk_ads,206
62,2020-01-09,yandex-direct,263
63,2020-01-10,-,2704
64,2020-01-10,facebook_ads,1215
65,2020-01-10,google_ads,2256
