,date,utm_source,users
0,2020-01-01,-,956
1,2020-01-01,facebook_ads,465
2,2020-01-01,google_ads,722
3,2020-01-01,instagram_ads,537
4,2020-01-01,referal,284
5,2020-01-01,vk_ads,693
6,2020-01-01,yandex-direct,788
7,2020-01-02,-,843
8,2020-01-02,facebook_ads,376
9,2020-01-02,google_ads,615
10,2020-01-02,instagram_ads,529
11,2020-01-02,referal,286
12,2020-01-02,vk_ads,550
13,2020-01-02,yandex-direct,694
14,2020-01-03,-,649
15,2020-01-03,facebook_ads,276
16,2020-01-03,google_ads,504
17,2020-01-03,instagram_ads,363
18,2020-01-03,referal,199
19,2020-01-03,vk_ads,444
20,2020-01-03,yandex-direct,551
21,2020-01-04,-,483
22,2020-01-04,facebook_ads,225
23,2020-01-04,google_ads,393
24,2020-01-04,instagram_ads,307
25,2020-01-04,referal,135
26,2020-01-04,vk_ads,340
27,2020-01-04,yandex-direct,417
28,2020-01-05,-,450
29,2020-01-05,facebook_ads,214
30,2020-01-05,google_ads,344
31,2020-01-05,instagram_ads,257
32,2020-01-05,referal,136
33,2020-01-05,vk_ads,304
34,2020-01-05,yandex-direct,376
35,2020-01-06,-,425
36,2020-01-06,facebook_ads,166
37,2020-01-06,google_ads,291
38,2020-01-06,instagram_ads,256
39,2020-01-06,referal,110
40,2020-01-06,vk_ads,304
41,2020-01-06,yandex-direct,293
42,2020-01-07,-,334
43,2020-01-07,facebook_ads,164
44,2020-01-07,google_ads,238
45,2020-01-07,instagram_ads,204
46,2020-01-07,referal,86
47,2020-01-07,vk_ads,254
48,2020-01-07,yandex-direct,288
49,2020-01-08,-,286
50,2020-01-08,facebook_ads,133
51,2020-01-08,google_ads,222
52,2020-01-08,instagram_ads,204
53,2020-01-08,referal,87
54,2020-01-08,vk_ads,233
55,2020-01-08,yandex-direct,231
56,2020-01-09,-,374
57,2020-01-09,facebook_ads,184
58,2020-01-09,google_ads,272
59,2020-01-09,instagram_ads,215
60,2020-01-09,referal,126
61,2020-01-09,vk_ads,244
62,2020-01-09,yandex-direct,311
63,2020-01-10,-,3504
64,2020-01-10,facebook_ads,1629
65,2020-01-10,google_ads,2694
66,2020-01-10,instagram_ads,2078
67,2020-01-10,referal,996
68,2020-01-10,vk_ads,2403
69,2020-01-10,yandex-direct,2919
70,2020-01-11,-,1224
71,2020-01-11,facebook_ads,503
72,2020-01-11,google_ads,941
73,2020-01-11,instagram_ads,720
74,2020-01-11,referal,341
75,2020-01-11,vk_ads,850
76,2020-01-11,yandex-direct,968
77,2020-01-12,-,620
78,2020-01-12,facebook_ads,290
79,2020-01-12,google_ads,496
80,2020-01-12,instagram_ads,383
81,2020-01-12,referal,188
82,2020-01-12,vk_ads,462
